SiteID,Start.date,Start.hour,PresentTotal,PresenceTime,CPAPresent,TBPresent,ManeuverCPAPres,ManeuverTAPres,TAPresent,VesselCount,HumpbackPresent,DolphinPresent,Baleen,Minke,Other_Bio,FishChorusP,SnappingShrimp,Notes,ExtraNotes,Biology,Weekday
West Pimpernel,1/11/2019,7,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,upsweeps 07:05:25,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,8,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,9,1,,0,0,0,0,1,1,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,10,1,,0,2,0,0,0,2,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,11,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,12,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,13,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,14,0,,0,0,0,0,0,0,1,0,0,0,,0,1,,,"Baleen Whales, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,15,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,16,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,17,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/11/2019,18,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,19,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,20,0,,0,0,0,0,0,0,0,0,0,0,,1,1,"1-2 khz, 500 hz",,"Fish Chorus, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,21,0,,0,0,0,0,0,0,0,0,0,0,,1,1,500 hz,,"Fish Chorus, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,22,0,,0,0,0,0,0,0,0,1,0,0,1,1,1,500 hz,chirps at 22:27:12,"Delphinid spp., Fish Chorus, Snapping Shrimp",Friday
West Pimpernel,1/11/2019,23,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Friday
West Pimpernel,1/12/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/12/2019,1,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/12/2019,2,1,,0,1,0,0,0,1,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/12/2019,3,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/12/2019,4,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,Snapping Shrimp,Saturday
West Pimpernel,1/12/2019,5,0,,0,0,0,0,0,0,0,0,0,0,,1,1,1-2 khz,,"Fish Chorus, Snapping Shrimp",Saturday
